track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
72U9ZWsYe3lWRjER7n5xX5,Velho,Vida Longa ao Primitivo,O Único Caminho,18,153253,True,0.159,0.949,2,-3.544,1,0.058,1.01e-06,0.613,0.223,0.477,144.244,4,black-metal
6FPASokCZtXjBQl2jBKYxY,Bal-Sagoth,Battle Magic,Tale From The Deep Woods,18,336400,False,0.297,0.943,10,-8.156,0,0.0813,6.97e-05,0.0117,0.318,0.336,101.578,4,black-metal
5DLN0LQbIAD28k53GJfRPq,Anthrax,Halloween Metal Nights,Indians,1,341066,False,0.349,0.983,4,-5.969,0,0.0564,0.00065,0.000892,0.0365,0.422,105.571,4,thrash-metal
6nBZFWCx4X5EF50Php0vyy,Siebenbürgen,Loreia,Vampyria,19,309013,False,0.248,0.882,0,-7.996,1,0.0821,0.000317,0.0106,0.378,0.13,146.178,4,black-metal
4uspQt7LvzZzpsIoMIepbz,DeadSquad,Horror Vision (original version 2009),Hiperbola Dogma Monoteis,25,149053,True,0.506,0.941,1,-6.241,1,0.136,0.0202,0.000183,0.295,0.381,139.98,4,death-metal
0QV3swr7L8MZr72lL2izV1,Metallica,Hardwired…To Self-Destruct (Deluxe),Hardwired,63,189347,True,0.128,0.991,11,-3.289,1,0.0582,1.11e-05,0.00362,0.219,0.53,186.124,4,thrash-metal
6i7s8dpwHLZdDYSzulYmWq,Bleed From Within,Fracture,Into Nothing,43,282426,False,0.461,0.959,6,-6.447,1,0.0701,0.000694,5.29e-06,0.0448,0.362,100.512,4,death-metal
02oW7CYWjfiCs1rZs7GNes,Within Temptation,The Heart Of Everything,All I Need,57,290946,False,0.234,0.73,10,-4.854,1,0.0446,0.199,4.77e-06,0.13,0.12,152.972,3,symphonic-metal
2KPcujYDaukvtfRR0Zmu0O,Slayer,South Of Heaven,Mandatory Suicide,50,245133,False,0.367,0.997,8,-2.911,1,0.106,0.000499,0.694,0.0928,0.269,148.005,4,thrash-metal
5F2b8ExevODMQehJcEVjz9,Halestorm,Rock Brandneu,Wicked Ways,0,206959,False,0.342,0.991,2,-2.836,1,0.125,2.44e-05,0.049,0.404,0.242,176.359,4,symphonic-metal
0qbV4e18lWrTTxlswVoLbI,Metallica,Death Magnetic,The Unforgiven III,60,466586,False,0.297,0.692,4,-5.625,0,0.0344,0.00196,3.75e-06,0.115,0.103,121.52,4,thrash-metal
4qD1JzL9Dog8dbot4FAEZQ,Transmetal,Velóz y Devastador,Exhumado,23,246920,False,0.312,0.879,2,-11.445,0,0.0438,0.000139,0.538,0.0454,0.389,138.641,4,death-metal
29imjH7sNO9BwGjGgoJRGg,Hellcrust,Kalamaut,Janji Api,26,210213,True,0.551,0.96,1,-2.637,1,0.0778,0.000528,0.0484,0.265,0.432,126.038,4,death-metal
0uyvc0R0wJ6Fu3E01UtlzJ,Miss May I,Shadows Inside,Shadows Inside,54,236549,False,0.381,0.969,10,-4.956,0,0.141,4.59e-06,1.47e-05,0.143,0.338,179.987,4,death-metal
0WXlCYlG6kmIGZToMZ0EcE,Transmetal,México Bárbaro,Ángel Enfermo,23,205496,False,0.467,0.977,6,-6.893,1,0.0527,0.00171,0.0577,0.147,0.173,97.169,4,death-metal
3RqTWAc3noEuDS5B0BimD7,Nightwish,Century Child,End Of All Hope,57,233800,False,0.477,0.946,5,-6.734,1,0.0423,6.14e-05,0.0271,0.333,0.563,79.948,4,symphonic-metal
18HnCeaGjRjCyhqrBG2xmR,Rose Funeral,The Resting Sonata,Embalming The Masses,20,279226,False,0.257,0.899,0,-8.823,0,0.0999,7.44e-06,0.684,0.0642,0.278,110.944,4,black-metal
0PeeknWE7vgcMdwzbKRfCy,Mortuary Drape,All the Witches Dance,Primordial,22,187066,False,0.246,0.997,8,-5.478,1,0.0981,0.00013,0.000264,0.323,0.0828,169.21,4,black-metal
4pwKVmEsLZAIFW05f88ZT4,Testament,The Formation of Damnation,More Than Meets the Eye,52,273226,False,0.458,0.984,11,-4.294,1,0.15,6.44e-06,0.515,0.0678,0.381,155.055,4,thrash-metal
2LWgM8vzbLhlGRVCydRrEh,In Flames,Used and Abused (In Live We Trust),Only for the Weak - Live,23,291586,False,0.423,0.975,8,-5.254,1,0.102,2.76e-05,0.892,0.954,0.122,105.003,4,death-metal
3r3KRYYOFjNGD4OJB5ddam,Nightwish,The Sound of Nightwish Reborn,"While Your Lips Are Still Red - Theme from the Movie ""Lieksa!""",56,258977,False,0.472,0.658,7,-4.971,0,0.0256,0.0244,0.000146,0.195,0.113,100.044,4,symphonic-metal
6prvMx5SVgsFf8Iocaxvqz,Blind Witness,Nightmare On Providence Street,These Countless Sleepless Nights,22,278120,False,0.414,0.994,11,-2.634,0,0.243,1.24e-05,0.214,0.262,0.192,199.994,4,death-metal
7jok5zvxnrQuK2N7psZHyN,Morbid Angel,Altars of Madness,Chapel of Ghouls,40,297493,False,0.177,0.965,4,-7.14,1,0.0809,3.29e-06,0.548,0.11,0.203,96.069,4,death-metal
1YenEQ5vZytH31jdDlnXYu,The Acacia Strain,Continent,The Behemoth,23,397026,True,0.489,0.87,9,-8.622,0,0.06,0.0763,0.917,0.12,0.109,120.059,4,death-metal
3qSiLolBeDlPkQw0pu2f28,Manes,Slow Motion Death Sequence,Night Vision,17,264893,False,0.403,0.623,4,-7.939,1,0.0337,0.00346,0.0627,0.118,0.0819,106.017,4,black-metal
16yvB7exWWUBkZ9fFkLVMI,Gojira,The way of all flesh,Vacuity,53,291626,False,0.586,0.855,8,-3.356,1,0.0388,0.000318,0.000931,0.0798,0.302,88.046,4,death-metal
1zNBVe8QG37iPLLQHlUS2u,Currents,The Way It Ends,Kill the Ache,57,233355,False,0.486,0.934,4,-6.064,0,0.0703,0.00171,0.0037,0.108,0.125,139.934,4,death-metal
5ohfpKB5tt275f4Y4lQ9F7,Slayer,Reign In Blood (Expanded),Angel Of Death,60,291773,False,0.326,0.995,1,-4.38,1,0.147,9.41e-05,0.386,0.145,0.092,105.459,4,thrash-metal
4ABDFuZgqdg9X8Rw02WfYF,Nightwish,Spooky Scary Season,The Phantom Of The Opera,1,248240,False,0.433,0.848,5,-6.92,0,0.0496,6.53e-06,0.0316,0.0982,0.324,131.9,4,symphonic-metal
1lsV84a9EmAIS0isRG9tRp,Cannibal Corpse,Gallery of Suicide,Stabbed in the Throat,23,206400,True,0.274,0.987,1,-8.495,1,0.117,4.12e-05,0.416,0.141,0.156,93.735,4,death-metal
6JGgZq7gwoW8TxMZOQCqSk,Burgerkill;Ahmad Dhani,Elang,Elang,37,252631,False,0.499,0.819,4,-12.636,0,0.0504,0.000803,0.62,0.277,0.475,95.007,4,death-metal
0QSx3sQoHPNUfg2vwh5tOi,Therion,Theli,Nightside of Eden,25,449280,False,0.439,0.739,9,-7.746,1,0.0339,0.000155,0.0458,0.227,0.308,138.986,4,symphonic-metal
3RqTWAc3noEuDS5B0BimD7,Nightwish,Century Child,End Of All Hope,57,233800,False,0.477,0.946,5,-6.734,1,0.0423,6.14e-05,0.0271,0.333,0.563,79.948,4,symphonic-metal
4QWLhGVitrCCysR3ugX9Xw,Within Temptation,The Silent Force,Angels,56,240440,False,0.341,0.867,7,-4.727,0,0.0492,0.293,0.0,0.257,0.2,182.032,4,symphonic-metal
3Jnxngdff0lVu2rza1GVx6,Black Sabbath,Paranoid,Paranoid (2009 - Remaster),42,167720,False,0.423,0.685,4,-9.651,0,0.078,6.28e-05,0.00642,0.133,0.328,162.78,4,thrash-metal
13Uvqll8OQDjw3wDweIK9y,Metallica,Death Magnetic,The Day That Never Comes,65,476266,False,0.334,0.982,4,-2.293,0,0.0619,9.11e-05,0.149,0.106,0.501,126.883,4,thrash-metal
0Esga9nT74zsIrvKQrkgzL,Death Angel,Metal,The Ultra-Violence,0,633600,False,0.242,0.99,4,-3.725,0,0.219,1.42e-05,0.693,0.153,0.19,110.976,4,thrash-metal
1955ZZJe1TzmSR0TomnNjI,Megadeth,Halloween Spooky Party 2022,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,thrash-metal
6PkOmPMlH5nPFeoCPU0lo2,Nightwish,Highest Hopes-The Best Of Nightwish,Nemo,59,273626,False,0.498,0.745,3,-6.537,1,0.0351,0.000167,0.000136,0.0681,0.346,125.014,4,symphonic-metal
20uDfvpjbtEFz4AeC9O7AQ,Megadeth,Halloween Metal Nights,"The Sick, The Dying… And The Dead!",2,304053,False,0.303,0.976,5,-3.583,0,0.225,0.00266,0.135,0.0707,0.193,88.536,4,thrash-metal
3x9uPWasYQQn8WGUg1zuMm,Wormwood,Arkivet,Overgrowth,18,317386,False,0.265,0.904,4,-6.334,0,0.0901,0.00043,0.0513,0.0657,0.091,113.031,4,black-metal
66iX4HzM7YnmxmUZOSCG2F,Epica,The Phantom Agony (Expanded Edition),"Cry for the Moon (The Embrace That Smothers , Pt. 4)",54,406040,False,0.446,0.902,2,-5.33,0,0.046,0.00634,0.000345,0.0813,0.302,180.115,4,symphonic-metal
3P55qh6yd5B6Q19xgxQ4Cq,Sepultura,Under a Pale Grey Sky (Live),Arise / Dead Embryonic Cells - Live,21,189266,False,0.275,0.979,2,-5.412,1,0.0741,0.00108,0.0249,0.329,0.24,129.842,4,thrash-metal
6bcIyAwnUIF34YelBWqMrS,Therion,Les Épaves,L'amour est bleu - Mellow Version,22,207306,False,0.556,0.675,7,-5.169,1,0.0238,0.0248,0.0016,0.144,0.357,105.024,4,symphonic-metal
3PM1gGSwkq1Szoeb3BDRxU,Arkona,Lunaris,Nie Dla Mnie Litość,19,426461,False,0.298,0.798,11,-7.823,0,0.0618,0.000147,0.0593,0.0939,0.0443,129.898,4,symphonic-metal
1uOsk0sVgOED6KtfLHy0Vs,Gideon,Cold,Scapegoat,23,241114,False,0.567,0.957,6,-4.154,1,0.057,3.13e-05,5.7e-05,0.333,0.444,104.999,4,death-metal
0qkqKBRv8FJKx50yyI9B6b,Gideon,Milestone,Prodigal Son,25,172986,False,0.531,0.947,6,-3.903,1,0.0871,0.000102,0.0,0.126,0.285,105.009,4,death-metal
5xaU2zWjNaTAxImnusCThR,Suicidal Tendencies,Freedumb,Scream Out,31,149466,False,0.292,0.991,2,-6.74,1,0.118,0.00635,3.17e-05,0.0826,0.221,160.498,4,thrash-metal
7wcqsaVz5LadhwD12HtOu3,Deafheaven,Infinite Granite,Shellstar,43,366093,False,0.455,0.692,8,-6.914,1,0.0323,0.00751,0.8,0.0767,0.139,136.049,4,black-metal
2WmbbiWfFEKsSZe6E5GeVe,Nightwish,Century Child,The Phantom Of The Opera,60,248706,False,0.431,0.829,5,-7.713,0,0.0491,7.33e-06,0.03,0.086,0.356,131.891,4,symphonic-metal
3SGBjlzkYK52pRFisKT3pJ,Satyricon,Live at the Opera,The Pentagram Burns,16,384946,False,0.406,0.977,2,-10.303,1,0.0809,0.00794,0.0497,0.953,0.0594,125.004,4,black-metal
582QmuQapDg7uo1jcAKsgN,Megadeth,Release Your ANGER,Holy Wars...The Punishment Due - Remastered,1,392600,False,0.327,0.985,11,-3.941,1,0.151,0.00177,0.108,0.351,0.218,125.232,4,thrash-metal
5SXom2SWwb8YxyfpUOQUp2,Cradle Of Filth,Thornography [Special Edition],Temptation,45,227706,False,0.574,0.925,10,-5.423,0,0.0336,0.000108,0.0659,0.214,0.593,135.011,4,death-metal
35zwdnMhebt8gLF4WaCUMz,Within Temptation,The Unforgiving,In the Middle of the Night,51,311626,False,0.502,0.892,8,-4.014,1,0.0309,0.000197,0.000345,0.384,0.346,100.038,4,symphonic-metal
77EvqDtVh7ivqcr3H3KRs7,Windir,Soknardalr,Mørket Sin Fyrste,17,447059,False,0.302,0.941,9,-8.74,0,0.0705,0.000533,0.932,0.11,0.0975,140.039,4,black-metal
1Ap9wotYS99H8R17VONySZ,Megadeth,"The Sick, The Dying… And The Dead!",We’ll Be Back,61,269466,False,0.405,0.96,2,-3.916,1,0.074,0.0001,0.0576,0.182,0.417,174.952,4,thrash-metal
7q8TrL8QgMP9lWTcaYmGZ5,D.F.C.,Igreja Quadrangular Do Triângulo Redondo,Lucro é o Fim,23,91219,True,0.191,0.944,7,-4.237,1,0.0761,2.34e-05,0.939,0.0905,0.807,196.822,4,death-metal
67BMusU7lw2tEwR9mPiE5m,Anthrax;Public Enemy,Release Your ANGER,Bring The Noise,0,210493,False,0.599,0.831,2,-7.86,1,0.159,0.000155,2.13e-06,0.117,0.281,121.05,4,thrash-metal
7v9HNMlAe2UBaEhvaCk5wX,Make Them Suffer,Doomswitch,Doomswitch,58,275205,True,0.25,0.952,9,-4.059,0,0.209,2.45e-05,0.0135,0.0892,0.126,143.022,3,black-metal
0fPW7rsIvbUmXPpUib0zIl,Born Of Osiris,Angel or Alien,Angel or Alien,44,267649,False,0.447,0.979,4,-4.129,0,0.118,0.000893,0.00125,0.393,0.17,109.056,4,death-metal
0doBBBGIPsA0rtRQCqQewB,Arch Enemy,The Root of All Evil,The Immortal - 2009 Version,22,227826,False,0.171,0.969,1,-4.388,1,0.092,5.56e-06,0.13,0.0621,0.352,183.496,4,death-metal
7edQWzDDAPlTLFbwWlNTGy,Noxa,Legacy,The Leader Has Gone,24,121426,True,0.464,0.968,7,-4.667,1,0.123,1.96e-06,0.703,0.117,0.498,115.113,4,death-metal
3uPgWkH9v25UH8lO0JHeEx,The Ghost Inside,Rise From The Ashes: Live At The Shrine,Mercy - Live,22,235681,False,0.414,0.933,6,-5.982,0,0.0595,8.39e-06,0.000603,0.558,0.142,123.717,4,death-metal
0XHnYbXteyBDfVvk9EGaPu,Asking Alexandria,See What’s On The Inside,Never Gonna Learn,57,198041,True,0.274,0.922,1,-3.663,0,0.0593,0.000115,0.0,0.123,0.366,105.132,4,symphonic-metal
1JrdNQDR2X9ZPSM8slPHHo,Anaal Nathrakh,Desideratum,Desideratum,17,238714,False,0.0871,0.789,6,-3.172,1,0.0738,1.92e-06,0.907,0.101,0.222,173.63,4,black-metal
4wxm46qMm1P7JH1ivm1BQ2,Eluveitie,Ategnatos,Ambiramus,52,173213,False,0.434,0.908,6,-4.715,1,0.0936,0.00791,0.0,0.662,0.461,126.331,4,death-metal
579dIsL1u8C60C4o1BD5Bp,Testament,Groove Metal Roots & Branches,Hail Mary,0,212733,False,0.38,0.935,1,-7.061,1,0.0595,6.45e-06,0.197,0.111,0.529,109.096,4,thrash-metal
2iA4neLS2rg1dlciGgmt4X,Megadeth,Release Your ANGER,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,thrash-metal
2aaClnypAakdAmLw74JXxB,Sepultura,Metal,Arise,0,198226,False,0.371,0.961,9,-6.765,0,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,4,thrash-metal
20uDfvpjbtEFz4AeC9O7AQ,Megadeth,Halloween Metal Nights,"The Sick, The Dying… And The Dead!",2,304053,False,0.303,0.976,5,-3.583,0,0.225,0.00266,0.135,0.0707,0.193,88.536,4,thrash-metal
2EUR6ueSTUDvxCogLDFcnn,I See Stars,Treehouse,Calm Snow,52,191766,False,0.494,0.873,2,-4.128,0,0.0833,0.00341,0.000229,0.136,0.185,90.003,4,death-metal
3ogfZo3hQDkU2oX99Od2Av,The Browning,Hypernova,Black Hole,23,173373,False,0.524,0.987,0,-2.426,1,0.0638,0.0037,0.00406,0.262,0.441,135.003,4,death-metal
4Xjj5GXm3uQGtkHmmWrLR2,Cradle Of Filth,Damnation And A Day,Thank God For The Suffering,17,373320,False,0.381,0.976,5,-4.982,0,0.108,0.000159,0.0164,0.539,0.207,161.057,4,black-metal
6RnniuqnPX6vRyOLzT3HoO,Slaughter to Prevail,Kostolom,Agony,50,237000,True,0.214,0.991,11,-1.419,1,0.241,0.00118,1.62e-05,0.341,0.301,74.998,4,death-metal
4aYLAF6ckQ5ooGGGM7sWAa,Metallica,Metallica,The Unforgiven,74,386493,False,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4,thrash-metal
6J4VOoKhRZFNeWkVH0WTzH,Testament,The Formation of Damnation,For the Glory of...,58,72493,False,0.45,0.892,8,-5.099,1,0.0466,2.8e-06,0.883,0.0878,0.49,120.048,4,thrash-metal
4LSPVzDF1WcUedAG4hqtcm,Myrkur,Myrkur,Nattens Barn,21,355605,False,0.103,0.846,9,-4.866,1,0.108,0.00814,0.000539,0.0511,0.0588,91.081,5,black-metal
6byH6lnXKYq7Nsp6uykF4d,Delain,Interlude,We Are the Others - New Ballad Version,41,222200,False,0.509,0.571,0,-6.226,1,0.031,0.0328,0.0,0.106,0.249,119.992,4,symphonic-metal
29NRiXZGRedKLsb158Wjsu,D.F.C.,Sequência Animalesca De Bicudas E Giratórias,Conversa Pra Boy Dormir,26,69720,True,0.468,0.988,11,-5.415,0,0.111,0.000368,0.0,0.0889,0.371,102.115,3,death-metal
2wURETE2Z6UwmljCMyEgtY,Impaled Nazarene,Suomi Finland Perkele & Motorpenis,"Total War, Winter War",17,226826,False,0.281,0.972,6,-7.415,0,0.115,1.47e-05,0.0269,0.0676,0.0554,124.823,4,black-metal
